Date,Customer_ID,Product_Category,Product_Value,Rating,Return
01-Jan-2015,1010408,B,33.5,5,N
01-Jan-2015,1014220,C,18.4,4,N
01-Jan-2015,1016167,E,23.2,4,N
01-Jan-2015,1019094,D,46,0,Y
01-Jan-2015,1019535,D,25.5,0,N
02-Jan-2015,1011981,B,19.6,5,N
02-Jan-2015,1014698,D,72.9,5,N
02-Jan-2015,1017185,B,26.8,0,N
02-Jan-2015,1017721,D,26,4,N
02-Jan-2015,1018453,D,10.56,0,N
02-Jan-2015,1018707,B,10.6,3,N
02-Jan-2015,1018904,A,45.8,3,N
03-Jan-2015,1012429,C,53.8,5,N
03-Jan-2015,1013687,D,34.7,4,N
03-Jan-2015,1015061,E,31.9,5,N
03-Jan-2015,1015103,E,35.4,0,N
03-Jan-2015,1018453,B,30.2,5,N
03-Jan-2015,1019483,E,18.8,5,N
04-Jan-2015,1010647,C,17.7,4,N
04-Jan-2015,1011630,D,20.4,5,N
04-Jan-2015,1013932,D,15.5,5,N
04-Jan-2015,1015211,C,28,0,N
04-Jan-2015,1015818,E,28,5,N
04-Jan-2015,1016137,E,54.7,0,N
04-Jan-2015,1016361,D,38.3,3,N
04-Jan-2015,1018254,A,61.2,5,N
04-Jan-2015,1018453,E,30.9,2,N
05-Jan-2015,1010951,C,35.8,5,N
05-Jan-2015,1011096,C,7.7,4,N
05-Jan-2015,1011236,A,22.6,5,N
05-Jan-2015,1011399,E,10.74,5,N
05-Jan-2015,1013917,D,10.25,5,N
05-Jan-2015,1013972,A,13.4,5,N
05-Jan-2015,1015566,D,31.7,5,N
05-Jan-2015,1016344,A,72.2,5,N
05-Jan-2015,1016608,A,40.1,2,N
05-Jan-2015,1016828,D,34.8,0,N
05-Jan-2015,1017018,B,58,0,N
06-Jan-2015,1011799,E,10.69,5,N
06-Jan-2015,1011906,E,31.6,4,N
06-Jan-2015,1012919,D,20.5,5,N
06-Jan-2015,1018275,D,59.5,5,N
06-Jan-2015,1019094,A,39.6,5,N
07-Jan-2015,1011212,D,9.1,5,N
07-Jan-2015,1013405,C,10.9,0,N
07-Jan-2015,1013800,C,37.7,5,N
07-Jan-2015,1014146,D,14.7,5,N
